Series Name	"Series Code"	"Country Name"	"Country Code"	"2016 [YR2016]"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Northern Mariana Islands"	"MNP"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Norway"	"NOR"	"7.83696247926505"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Oman"	"OMN"	"14.1670757781658"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Pakistan"	"PAK"	"0.987832347653372"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Palau"	"PLW"	"12.6198589562764"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Panama"	"PAN"	"2.65414094055156"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Papua New Guinea"	"PNG"	"0.91101349652311"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Paraguay"	"PRY"	"1.09287103680919"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Peru"	"PER"	"1.85650131255119"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Philippines"	"PHL"	"1.17964965768661"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Poland"	"POL"	"7.87558153343183"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Portugal"	"PRT"	"4.72054530881554"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Puerto Rico"	"PRI"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Qatar"	"QAT"	"38.9014709306224"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Romania"	"ROU"	"3.51526192391972"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Russian Federation"	"RUS"	"11.9994320726116"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Rwanda"	"RWA"	"0.0955339264011145"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Samoa"	"WSM"	"1.26295525226823"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"San Marino"	"SMR"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Sao Tome and Principe"	"STP"	"0.595447455308596"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Saudi Arabia"	"SAU"	"17.367587810239"
